1868,1.47539535295
1871,1.97897340754
1874,2.43837794858
1877,1.89946108313
1880,1.79344465059
1883,3.25117059811
1886,5.38033395176
1889,7.30629914303
1892,8.93188444209
1895,10.4514533086
1898,10.5839738493
1901,11.2819153635
1904,13.4994257443
1907,12.342079689
1910,13.0665253114
1913,13.8616485555
1916,15.9819772065
1919,16.0703242336
1922,29.719939924
1925,25.6736460818
1928,23.7388461878
1931,27.8558176517
1934,22.7581941868
1937,24.6753246753
1940,27.387578408
1943,26.9281738669
1946,13.5877727714
1949,47.9989398357
1952,43.0603410195
1955,47.2479901051
1958,54.589628059
1961,55.5614453574
1964,61.1803162824
1967,66.8521954236
1970,71.7731248343
1973,69.3524162912
1976,74.9359484053
1979,78.4609947875
1982,84.0180227935
1985,85.0428483082
1988,84.5039314427
1991,85.0605177136
1994,86.491739553
1997,87.8787878788
2000,88.0996554466
2003,91.1476278823
2006,90.1669758813
2009,90.9886032335
2012,96.2452513473
2015,100.0
