1869,1
1872,1
1875,1
1878,1
1881,1
1884,1
1887,1
1890,1
1893,2
1896,2
1899,4
1902,4
1905,9
1908,9
1911,9
1914,9
1917,13
1920,14
1923,15
1926,16
1929,19
1932,20
1935,21
1938,22
1941,27
1944,27
1947,27
1950,31
1953,36
1956,39
1959,43
1962,45
1965,63
1968,72
1971,78
1974,82
1977,86
1980,92
1983,98
1986,100
1989,100
1992,102
1995,104
1998,104
2001,105
2004,111
2007,115
2010,116
2013,120
2016,121
